Territory,County,Address,Max.Sim.CCS,Max.Sim.CHAd eMo,Max.Sim.Fast AC,Max.Sim. AC Socket,CCS kWs,CHAd eMO kWs,AC Fast kWs,AC Socket kWs,Latitude,Longitude,Open Hours,Route / Exit
,,"Circle K Service Station, Corballis Road North,",,,,,,,,,,,,
RoI,Dublin,Dublin Airport,,1,1,1,0,50,50,43,53.428658,-6.234603,24 x 7,
RoI,Dublin,"Marine Road, Dun Laoghaire",,0,0,0,2,,,22(2),53.2938,-6.1348,24 x 7,
,,"Park Pointe Shopping Centre, Glenageary Road",,,,,,,,,,,,
RoI,Dublin,"Upper, Dun Laoghaire",,3,1,0,100(3),,50,,53.282568,-6.143881,24 x 7,
,,"Lucan Shopping Centre (SuperValu), Newcastle",,,,,,,,,,,,
RoI,Dublin,Road (R120 At,"N4 Jnct 4), Lucan",1,1,0,0,100,50,,53.349266,-6.452681,24 x 7,
,,"Irish Rail Rush and Lusk Train Station, Station",,,,,,,,,,,,
RoI,Dublin,"Road, Lusk",,0,0,0,2,,,7(2),53.520646,-6.144629,24 x 7,
,,"Malahide DART Station, Railway Avenue,",,,,,,,,,,,,
RoI,Dublin,Malahide,,0,0,0,2,,,22(2),53.451478,-6.156156,24 x 7,
RoI,Dublin,"James's Terrace, Malahide, Malahide",,0,0,0,2,,,22(2),53.451232,-6.15157,24 x 7,
RoI,Dublin,"Supervalu Newcastle, Graydon Road, Newcastle",,4,0,0,100(4),,,,53.298772,-6.496403,24 x 7,
,,"Citywest Shopping Centre Car Park, Citywest",,,,,,,,,,,,
RoI,Dublin,"Drive, Saggart",,0,0,0,2,,,22(2),53.283222,-6.421705,24 x 7,
RoI,Dublin,"Public Parking, South Strand Road, Skerries",0,0,0,2,,,22(2),53.578784,-6.104879,24 x 7,,
,,"Talbot Hotel Stillorgan, Stillorgan Road,",,,,,,,,,,,,
RoI,Dublin,Stillorgan,2,0,0,100(2),,,,53.295343,-6.203373,24 x 7,,
RoI,Dublin,"Old Dublin Road, Stillorgan",0,0,0,2,,,22(2),53.290457,-6.199702,24 x 7,,
RoI,Dublin,"Main Street, Swords",0,0,0,2,,,22(2),53.45423,-6.223713,24 x 7,,
,,"Swords Pavilions Shopping Centre, Malahide Rd,",,,,,,,,,,,,
RoI,Dublin,"Swords Demesne, Swords",0,0,0,10,,,22(10),53.453917,-6.221329,24 x 7,,
RoI,Dublin,"Tesco, Tesco, Airside (R125), Swords",0,0,0,2,,,22(2),53.445169,-6.21589,24 x 7,R125,
RoI,Galway,"Irish Rail, Church Street, Athenry",0,0,0,2,,,22(2),53.29953,-8.75104,24 x 7,,
,,"Loughrea Service Station (TOP), Athenry Road",,,,,,,,,,,,
RoI,Galway,"Loughrea, H62 NX74",4,0,0,100(4),,,,53.201772,-8.584795,24 x 7,,
RoI,Galway,"Irish Rail, Station Road, Ballinasloe",0,0,0,2,,,7(2),53.336624,-8.239191,24 x 7,,
RoI,Galway,"Off Society Street, Ballinasloe",0,0,0,2,,,22(2),53.330623,-8.225283,24 x 7,,
RoI,Galway,"Saint Michael's Square, Ballinasloe",1,1,0,1,50,50,22,53.329333,-8.220936,24 x 7,,
,,"Circle K Service Station (Dolan's), Athlone Road",,,,,,,,,,,,
RoI,Galway,"(R446), Ballinasloe",1,1,1,0,50,50,43,53.328467,-8.184483,24 x 7,,
,,"Tesco Ballinasloe, Dunlo Town Centre, Harbour",,,,,,,,,,,,
RoI,Galway,"Rd, Ballinasloe, Co. Galway, Ballinasloe",0,0,0,2,,,22(2),53.323323,-8.224896,24 x 7,,
RoI,Galway,"Station House Car Park, Clifden",2,0,0,100(2),,,,53.488862,-10.019564,24 x 7,,
,,"Monaghan & Sons, Tuam Road, , Galway, H91",,,,,,,,,,,,
RoI,Galway,N528,0,0,0,2,,,7(2),53.292256,-9.019465,24 x 7,,
,,"Circle K Service Station, Newcastle Road,",,,,,,,,,,,,
RoI,Galway,Galway,1,1,0,2,50,50,22(2),53.282203,-9.065258,24 x 7,,
RoI,Galway,"Menlo Park Hotel, Coolough Road, , Galway City",0,0,0,2,,,22(2),53.288142,-9.047838,24 x 7,,
RoI,Galway,"Galway Retail Park, Headford Road, Galway City",2,0,0,100(2),,,,53.2802,-9.0496,24 x 7,,
RoI,Galway,"Public Car Park, Dyke Road, Galway City",0,0,0,2,,,7(2),53.278213,-9.050699,24 x 7,,
RoI,Galway,"Woodquay, Galway City",0,0,0,2,,,22(2),53.276523,-9.052773,24 x 7,,
RoI,Galway,"Irish Rail, Station Road, Gort",0,0,0,2,,,22(2),53.066582,-8.814919,24 x 7,,
,,"The Galway Plaza, Junction 16, Carrowkeel,",,,,,,,,,,,,
RoI,Galway,"Kiltullagh, Co. Galway, Kiltullagh",2,2,1,"150, 5070, 50",,,43,53.26434,-8.606133,24 x 7,Junction 16,
RoI,Galway,"Public Car Park, Barrack Street, Loughrea",1,1,0,1,50,50,22,53.197768,-8.570838,24 x 7,,
,,"Glynn's Centra/Circle K Service Station,",,,,,,,,,,,,
,,Carnmore Cross (At Galway Airport Entrance on,,,,,,,,,,,,
RoI,Galway,"R339 off N18), Oranmore",2,2,0,"1150, 5070, 50",,,22,53.304365,-8.942545,24 x 7,,
,,"Irish Rail Station Car Park, Garraun, Coast Road",,,,,,,,,,,,
RoI,Galway,"(R338), Oranmore",0,0,0,2,,,22(2),53.275327,-8.947087,24 x 7,R338,
RoI,Galway,"Off Dunkellin Terrace, Portumna",0,0,0,2,,,22(2),53.092133,-8.221551,24 x 7,,
RoI,Galway,"Public Car Park, Vicar Street, Tuam",1,1,0,1,50,50,22,53.51418,-8.852424,24 x 7,,
,,"N17 Plaza (Spar & Supermacs), Galway road,",,,,,,,,,,,,
RoI,Galway,Tuam,4,4,0,200(4),70(4),,,53.5081,-8.87159,24 x 7,N17 N17,
RoI,Kerry,"Off O'Connell Street, Caherciveen",0,0,0,2,,,22(2),51.946705,-10.227204,24 x 7,,
,,"Walsh's Supervalu, Valentia Road, Garranebane,",,,,,,,,,,,,
RoI,Kerry,"Caherciveen, V23T440",3,3,0,"1200(2), 5070(2), 50",,,22,51.940294,-10.237755,24 x 7,,
,,"Station House Car Park, Off Killarney Road,",,,,,,,,,,,,
RoI,Kerry,Castleisland,0,0,0,2,,,22(2),52.230261,-9.465842,24 x 7,,
RoI,Kerry,"Marina Car Park, Off Strand Street, Dingle",2,0,0,100(2),,,,52.139518,-10.278791,24 x 7,,
RoI,Kerry,"Moran's Texaco (Spar), Mail Road, Dingle",3,3,0,"1150(2), 5070(2), 50",,,22,52.138297,-10.269771,24 x 7,,
RoI,Kerry,"Whytes Shop, Killarney Road, Kenmare",1,1,0,1,50,50,22,51.884003,-9.589492,24 x 7,,
,,"Tesco Killarney Park, Deerpark Cl,",,,,,,,,,,,,
RoI,Kerry,"Ardshanavooly, Killarney",0,0,0,2,,,22(2),52.063371,-9.49493,24 x 7,,
RoI,Kerry,"Daly's SuperValu, Killarney",4,4,0,200(4),70(4),,,52.059838,-9.481015,24 x 7,,
RoI,Kerry,"Glebe Public Car Park, Plunkett Street, Killarney",0,0,0,2,,,22(2),52.059533,-9.507251,24 x 7,,
,,"Randles Garage (Nissan), Muckross Road,",,,,,,,,,,,,
RoI,Kerry,Killarney,1,1,1,0,50,50,43,52.052998,-9.507077,24 x 7,,
RoI,Kerry,"Off Market Road, Killorglin",0,0,0,2,,,22(2),52.107344,-9.786073,24 x 7,,
,,"Public Car Park, Courthouse Lawn, Off Charles",,,,,,,,,,,,
RoI,Kerry,"Street, Listowel",0,0,0,2,,,22(2),52.449026,-9.48427,24 x 7,,
RoI,Kerry,"The Square, Listowel",0,0,0,2,,,22(2),52.444613,-9.485837,24 x 7,,
RoI,Kerry,"Sportsfield Road, Sneem",0,0,0,2,,,22(2),51.839336,-9.901316,24 x 7,,
RoI,Kerry,"Garvey's Car Park, Off Matt Talbot Road, Tralee",1,1,0,1,50,50,22,52.271,-9.71,24 x 7,,
,,"Irish Rail Train Station Car Park, John Joe Sheehy",,,,,,,,,,,,
RoI,Kerry,"Road, Tralee",0,0,0,2,22(2),52.270976,-9.699875,24 x 7,,,,
RoI,Kerry,"Public Car Park, Mary Street, Tralee",0,0,0,2,22(2),52.268,-9.7075,24 x 7,,,,
RoI,Kerry,"Brandon Car Park, Off Prince's Street, Tralee",0,0,0,2,22(2),52.2666,-9.70961,24 x 7,,,,
,,"Kelliher's Inver (Mace), Ratass, Tralee, Co. Kerry,",,,,,,,,,,,,
RoI,Kerry,"Tralee, V92 YWA0",3,3,0,"1150(2), 5070(2), 50",22,52.265904,-9.682922,24 x 7,,,,
,,,,,,,,,,Mon:10:00-17:00,,,,
,,,,,,,,,,Tue:10:00-17:00,,,,
,,,,,,,,,,Wed:10:00-17:00,,,,
,,,,,,,,,,Thu:10:00-17:00,,,,
,,,,,,,,,,Fri:10:00-17:00,,,,
,,,,,,,,,,Sat:10:00-17:00,,,,
RoI,Kerry,"Lee Valley Park, Ballyard, Tralee",0,0,0,2,22(2),52.260883,-9.714192,Sun:10:00-17:00,,,,
RoI,Kildare,"Irish Rail, Church Road, Athy",0,0,0,2,22(2),52.991951,-6.976647,24 x 7,,,,
RoI,Kildare,"The Square, Barrack Street, Ballymore Eustace",0,0,0,2,22(2),53.133579,-6.614196,24 x 7,,,,
RoI,Kildare,"Tesco Celbridge, Maynooth Rd, Celbridge",0,0,0,2,22(2),53.344094,-6.54479,24 x 7,,,,
RoI,Kildare,"Irish Rail, Hazelhatch Road, Celbridge",0,0,0,2,22(2),53.323004,-6.523586,24 x 7,,,,
RoI,Kildare,"Tesco Clane, Dublin Rd, Clane, Clane",0,0,0,2,22(2),53.295128,-6.682571,24 x 7,,,,
RoI,Kildare,"Tesco Superstore, Monasterevin Rd, Kildare",0,0,0,2,22(2),53.157013,-6.9173,24 x 7,,,,
RoI,Kildare,"Circle K M9 Kilcullen, Kilcullen M9, Kildare, R56",2,2,0,"1150, 5070, 50",22,53.08707,-6.755891,24 x 7,M9 M9,,,
,,"Irish Rail, Kildare Train Station, Station Road,",,,,,,,,,,,,
RoI,Kildare,Kildare Town,0,0,0,2,22(2),53.162374,-6.908265,24 x 7,,,,
,,"Irish Rail, Leixlip/Louisabridge Train Station,",,,,,,,,,,,,
RoI,Kildare,"Accommodation Road (L5056), Leixlip",0,0,0,2,22(2),53.369508,-6.507169,24 x 7,,,,
,,"Tesco Maynooth, Carton Park, Dublin Road,",,,,,,,,,,,,
RoI,Kildare,Maynooth,0,0,0,2,22(2),53.381508,-6.580913,24 x 7,,,,
,,"Tesco Maynooth, Carton Park, Dublin Rd,",,,,,,,,,,,,
RoI,Kildare,Maynooth,0,0,0,2,22(2),53.380865,-6.581169,24 x 7,,,,
,,"Irish Rail Station Cark Park, Canal Harbour,",,,,,,,,,,,,
RoI,Kildare,Monasterevin,0,0,0,2,22(2),53.145372,-7.06519,24 x 7,,,,
,,"Mayfield Services, M7 Junction 14 (R445),",,,,,,,,,,M7 M7,,
RoI,Kildare,"Monasterevin, W34 E789",8,3,0,200(8),70(3),,,53.145072,-7.01151,24 x 7,Junction 14,
RoI,Kildare,"Tesco, Monread Road, Naas",1,1,1,0,50,50,43,53.239404,-6.660165,24 x 7,,
,,"Tesco Naas Metro, Naas East, Naas, Co. Kildare,",,,,,,,,,,,,
RoI,Kildare,Naas,0,0,0,2,,,22(2),53.220686,-6.65798,24 x 7,,
RoI,Kildare,"Hedermans Car Park, Friary Road, Naas",0,0,0,2,,,22(2),53.218385,-6.658147,24 x 7,,
RoI,Kildare,"Fairgreen Street, Naas",0,0,0,2,,,22(2),53.214347,-6.665187,24 x 7,,
,,"Irish Rail, Newbridge Train Station, Station Road,",,,,,,,,,,,,
RoI,Kildare,Newbridge,0,0,0,2,,,22(2),53.185063,-6.808063,24 x 7,,
,,"Tesco Newbridge, Moorfield Road, Newbridge,",,,,,,,,,,,,
RoI,Kildare,"Co. Kildare, Newbridge",0,0,0,2,,,22(2),53.173483,-6.806047,24 x 7,,
,,"Irish Rail, Sallins and Naas Train Station (South",,,,,,,,,,,,
,,"Car Park), The Waterways (R407), Off R407,",,,,,,,,,,,,
RoI,Kildare,Sallins,0,0,0,2,,,22(2),53.246846,-6.66414,24 x 7,,
RoI,Kilkenny,"Off Chapel Lane, Callan",0,0,0,2,,,22(2),52.542453,-7.392293,24 x 7,,
,,"St. Canice's Council Car Park, Butt's Green,",,,,,,,,,,,,
RoI,Kilkenny,Kilkenny,2,0,0,100(2),,,,52.655331,-7.260136,24 x 7,,
RoI,Kilkenny,"Kilkenny Retail Park,Springhill, Kilkenny",3,1,1,"150(2), 50 50",,,43,52.63539,-7.244195,24 x 7,,
,,"John's Green Car park, Off Barrack Street,",,,,,,,,,,,,
RoI,Kilkenny,Kilkenny City,0,0,0,2,,,22(2),52.655593,-7.247032,24 x 7,,
RoI,Kilkenny,"Irish Rail, Dublin Road, Kilkenny City",0,0,0,2,,,22(2),52.654109,-7.244226,24 x 7,,
,,,,,,,,,,,,Mon:07:00-22:00,,
,,,,,,,,,,,,Tue:07:00-22:00,,
,,,,,,,,,,,,Wed:07:00-22:00,,
,,"County Hall Car Park, Off Maudlin Street,",,,,,,,,,,Thu:07:00-22:00,,
RoI,Kilkenny,Kilkenny City,0,0,0,2,,,22(2),52.652859,-7.248367,Fri:07:00-22:00,,
RoI,Kilkenny,"Fair Green Car Park, Off Gaol Road, Kilkenny City",0,0,0,2,,,22(2),52.650076,-7.257542,24 x 7,,
RoI,Kilkenny,"Inver Slieverue Junction, Rathpatrick, X91E6CY",4,4,0,200(4),70(4),,,52.28757,-7.061164,24 x 7,,
RoI,Kilkenny,"The Quay, Thomastown",0,0,0,2,,,22(2),52.526499,-7.135967,24 x 7,,
RoI,Kilkenny,"Texaco Service Station, Main Street, Urlingford",1,1,1,0,50,50,43,52.719319,-7.585956,24 x 7,,
RoI,Laois,"Temperance Street, Abbeyleix, A01",0,0,0,2,,,22(2),52.913019,-7.346601,24 x 7,,
,,"Circle K Service Station, M8 At Junction 3",,,,,,,,,,,M8 M8,
RoI,Laois,"(R433), Ballacolla",2,2,0,"1150, 5070, 50",,,22,52.866617,-7.480896,24 x 7,Junction 3,
RoI,Laois,"O'Moore Street, Mountmellick",0,0,0,2,,,22(2),53.118234,-7.333091,24 x 7,,
,,"Public Car Park, Off Link Road (R420),",,,,,,,,,,,,
RoI,Laois,Portarlington,1,1,0,1,50,50,22,53.160461,-7.187451,24 x 7,R420,
,,"Irish Rail Train Station Car Park, Station Road, ,",,,,,,,,,,,,
RoI,Laois,Portarlington,0,0,0,2,,,22(2),53.146359,-7.181829,24 x 7,,
RoI,Laois,"Irish Rail, Station Road, Portlaoise",0,0,0,2,,,22(2),53.036631,-7.301402,24 x 7,,
RoI,Laois,"Lyster Square, Portlaoise",0,0,0,2,,,22(2),53.032991,-7.298964,24 x 7,,
,,Car Park beside ESB,"Offices, Abbeyleix Road,",,,,,,,,,,,
RoI,Laois,Portlaoise,1,1,1,0,50,50,43,53.030737,-7.301713,24 x 7,,
RoI,Laois,"Portlaoise Plaza, Exit 17, M7, Portlaoise",1,1,0,0,150,70,,53.014096,-7.308305,24 x 7,M7 M7,
RoI,Leitrim,"St. Georges Terrace, Carrick-on-Shannon",0,0,0,2,,,22(2),53.943937,-8.098735,24 x 7,,
RoI,Leitrim,"Glebe Street, Mohill",0,0,0,2,,,22(2),53.922426,-7.866286,24 x 7,,
,,"Tesco Abbeyfeale,Colbert Terrace, Abbeyfeale",,,,,,,,,,,,
,,"West,, Tesco Abbeyfeale,Colbert Terrace,",,,,,,,,,,,,
,,"Abbeyfeale West, Abbeyfeale, Co. Limerick,",,,,,,,,,,,,
RoI,Limerick,Abbeyfeale,0,0,0,2,,,22(2),52.387722,-9.298849,24 x 7,,
RoI,Limerick,"Off Grove Crescent, Abbeyfeale",0,0,0,2,,,22(2),52.384589,-9.298733,24 x 7,,
RoI,Limerick,"Heritage Centre Parking, Main Street, Adare",0,0,0,2,,,22(2),52.565132,-8.790471,24 x 7,,
,,Foundation Car Park At,"University Concert Hall,",,,,,,,,,,,
RoI,Limerick,"(R445/L1118), University of Limerick, Castletroy",0,0,0,2,,,22(2),52.675091,-8.5739,24 x 7,,
RoI,Limerick,"Reidy's Circle K, Main Street, Foynes",0,0,0,2,,,22(2),52.607471,-9.099685,24 x 7,,
,,"Circle K Service Station, Sexton Street North,",,,,,,,,,,,,
RoI,Limerick,"Thomondgate, Limerick City",1,1,1,0,50,50,43,52.6716,-8.63531,24 x 7,,
RoI,Limerick,"Merchant's Quay, Limerick City",0,0,0,2,,,22(2),52.667322,-8.623874,24 x 7,,
RoI,Limerick,"Bedford Row, Limerick City",0,0,0,2,,,22(2),52.663928,-8.629209,24 x 7,,
RoI,Limerick,"Milk Market, Mungret Court, Limerick City",0,0,0,2,,,22(2),52.6638,-8.6216,24 x 7,,
RoI,Limerick,"Bishop's Quay, Limerick City",0,0,0,2,,,22(2),52.661893,-8.632049,24 x 7,,
RoI,Limerick,"Pery Street, Limerick City",0,0,0,2,,,22(2),52.6597,-8.6276,24 x 7,,
RoI,Limerick,"Pery Square, Limerick City",1,1,0,1,50,50,22,52.6582,-8.6294,24 x 7,,
,,"Circle K Service Station, Ballysimon Road (R527),",,,,,,,,,,,,
RoI,Limerick,"Limerick City, V94 V1KF",3,3,0,"1150(2), 5070(2), 50",,,22,52.652717,-8.593319,24 x 7,,
,,"Tesco Newcastle West, Limerick Rd,",,,,,,,,,,,,
,,"Rathnaneane, Newcastle West, Co. Limerick,",,,,,,,,,,,,
RoI,Limerick,Newcastle West,0,0,0,2,,,22(2),52.449916,-9.046759,24 x 7,,
RoI,Limerick,"Church Street, Newcastlewest",0,0,0,2,,,22(2),52.452409,-9.061489,24 x 7,,
,,"Garvey's Centra Service Station, St.Marys Road,",,,,,,,,,,,,
RoI,Limerick,Newcastlewest,1,1,1,0,50,50,43,52.44862,-9.053228,24 x 7,,
RoI,Longford,"Main Street, Ballymahon",1,1,0,1,50,50,22,53.562243,-7.763038,24 x 7,,
,,"Irish Rail Train Station, Station Road,",,,,,,,,,,,,
RoI,Longford,Edgeworthstown,0,0,0,2,,,7(2),53.689312,-7.604182,24 x 7,,
RoI,Longford,"Church Street, Longford",0,0,0,2,,,22(2),53.73057,-7.8016,24 x 7,,
RoI,Longford,"Market Square, Longford",0,0,0,2,,,22(2),53.725111,-7.800276,24 x 7,,
,,"Camlin Centra Texaco Service Station, Dublin",,,,,,,,,,,,
RoI,Longford,"Road, Longford",1,1,1,0,50,50,43,53.724529,-7.78376,24 x 7,,
,,"Irish Rail Car Park, Off Earl Street, Longford",,,,,,,,,,,,
RoI,Longford,Town,0,0,0,2,,,22(2),53.723916,-7.795273,24 x 7,,
RoI,Louth,"Irish Street, Ardee",0,0,0,2,,,22(2),53.860912,-6.542098,24 x 7,,
,,"Village Centre Car Park, Main Street (R172),",,,,,,,,,,,,
RoI,Louth,Blackrock,0,0,0,2,,,22(2),53.963924,-6.364996,24 x 7,R172,
,,"Tourist Office Car Park, Market Street/R173,",,,,,,,,,,,,
RoI,Louth,Carlingford,0,0,0,2,,,22(2),54.040456,-6.185322,24 x 7,R173,
RoI,Louth,"Public Car Park, Trinity Street, Drogheda",0,0,0,2,,,22(2),53.717924,-6.363419,24 x 7,,
,,"Bolton Square Public Car Park, Bolton Street,",,,,,,,,,,,,
RoI,Louth,Drogheda,1,1,0,1,50,50,22,53.71713,-6.354049,24 x 7,,
RoI,Louth,"Irish Rail, Dublin Road, Drogheda",0,0,0,2,,,22(2),53.7119,-6.3366,24 x 7,,
RoI,Louth,"Bus Station Car Park, Donore Road, Drogheda",0,0,0,2,,,22(2),53.710949,-6.355072,24 x 7,,
,,"Tesco Extra Drogheda, Donore Rd, Matthews Ln",,,,,,,,,,,,
RoI,Louth,"S, Lagavooren, Drogheda, Co. Louth, Drogheda",0,0,0,2,,,22(2),53.702342,-6.374282,24 x 7,,
RoI,Louth,"Linenhall Street, Dundalk",0,0,0,2,,,22(2),54.010244,-6.402563,24 x 7,,
,,"Long Walk Shopping Centre, The Long Walk,",,,,,,,,,,,,
RoI,Louth,Dundalk,0,0,0,2,,,22(2),54.006182,-6.404217,24 x 7,,
,,"Louth County Council, Saint Alphonsus Road,",,,,,,,,,,,,
RoI,Louth,Dundalk,0,0,0,2,,,22(2),54.003855,-6.387454,24 x 7,,
RoI,Louth,"Public Car Park, Rampart Lane, Dundalk",1,1,0,1,50,50,22,54.003329,-6.397354,24 x 7,,
RoI,Louth,"Irish Rail, Carrickmacross Road, Dundalk",0,0,0,2,,,22(2),54.000122,-6.412418,24 x 7,,
,,"Tesco Dundalk, Dundalk Shopping Centre,",,,,,,,,,,,,
RoI,Louth,"Stapleton Dr, Dundalk, Co. Louth, Dundalk",0,0,0,2,,,22(2),53.998507,-6.405068,24 x 7,,
,,"Circle K Oriel Service Station Dublin Road,",,,,,,,,,,,,
RoI,Louth,"Dundalk, A91 YN3F",3,3,0,"1150(2), 5070(2), 50",,,22,53.988355,-6.398533,24 x 7,,
RoI,Mayo,"Public Car Park, Humbert Street, Ballina",0,0,0,2,,,7(2),54.116236,-9.153369,24 x 7,,
,,"Tesco Ballina, Market Square, Abbeyhalfquarter,",,,,,,,,,,,,
RoI,Mayo,"Ballina, Co. Mayo, Ballina",0,0,0,2,,,22(2),54.11577,-9.154544,24 x 7,,
RoI,Mayo,"Moy Court, Off Bachelor's Walk, Ballina",1,1,0,1,50,50,22,54.115759,-9.149274,24 x 7,,
,,"McHugh's Texaco Service Station, Galway Road,",,,,,,,,,,,,
RoI,Mayo,Ballindine,1,1,1,0,50,50,43,53.667639,-8.955524,24 x 7,,
RoI,Mayo,"Tesco Superstore, Claremorris Road, Ballinrobe",0,0,0,2,,,22(2),53.627286,-9.217092,24 x 7,,
RoI,Mayo,"SuperValu Car Park, Church Lane, Ballinrobe",0,0,0,2,,,22(2),53.622633,-9.221264,24 x 7,,
,,"Swimming Pool Car Park, Clare Street,",,,,,,,,,,,,
RoI,Mayo,Ballyhaunis,0,0,0,2,,,22(2),53.762046,-8.765583,24 x 7,,
RoI,Mayo,"Car Park, Off Church Street, Belmullet",0,0,0,2,,,22(2),54.222996,-9.989089,24 x 7,,
RoI,Mayo,"Public Car Park, Market Street, Castlebar",0,0,0,2,,,22(2),53.8569,-9.3007,24 x 7,,
RoI,Mayo,"Casey's Centra Circle K, Lannagh Road, Castlebar",1,1,1,0,50,50,43,53.854221,-9.305581,24 x 7,,
RoI,Mayo,"The Mall, Castlebar",0,0,0,2,,,22(2),53.8534,-9.2985,24 x 7,,
,,Charlestown Service Station (Supermac's),,,,,,,,,,,,
RoI,Mayo,"Ballyhaunis Road, Charlestown",4,4,0,200(4),70(4),,,53.959834,-8.795772,24 x 7,,
,,"Leisure Centre Car Park, Dalton Street,",,,,,,,,,,,,
RoI,Mayo,Claremorris,2,0,0,100(2),,,,53.722118,-8.996996,24 x 7,,
,,"Tesco, Kiltimagh Road (via Chapel Street),",,,,,,,,,,,,
RoI,Mayo,Swinford,0,0,0,2,,,22(2),53.9386,-8.9525,24 x 7,,
RoI,Mayo,"Castlebar Street, Westport",0,0,0,2,,,22(2),53.8007,-9.5199,24 x 7,,
,,"Leisure Centre Car Park, Off James Street,",,,,,,,,,,,,
